HTS_Code,Section 232 Duty
9506.59.4040,25
9506.70.2090,25
9506.91.0010,25
9506.91.0020,25
9506.91.0030,25
9506.99.0510,25
9506.99.0520,25
9506.99.0530,25
9506.99.1500,25
9506.99.2000,25
9506.99.2580,25
9506.99.2800,25
9506.99.5500,25
9506.99.6080,25
9507.30.2000,25
9507.30.4000,25
9507.30.6000,25
9507.30.8000,25
9507.90.6000,25
9603.90.8050,25
